Rep Global Region,Rep Region,Rep Subregion,Rep Territory,Product_Group,Parent Account,Parent ID,Subsidiary Account,Sub Id,Geo_Group,DOMAIN
import pandas as pd,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,AGCO Corporation,10761,Ag-Chem Equipment,266714,United States,
import sys  ,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,AGCO Corporation,10761,AGCO Corporation,10761,United States,agcocorp.com
,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,AGCO Corporation,10761,Gsi Group,266716,United States,gsiag.com
# Changed default string encoding from 'ascii' to 'utf8',AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,AGCO Corporation,10761,Red Ball,266715,United States,
reload(sys)  ,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,AGCO Corporation,10761,Valtra,276247,United States,valtra.com
sys.setdefaultencoding('utf8'),AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,American Express (AMEX),13223,Accertify,266769,United States,www.accertify.com
,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,American Express (AMEX),13223,Acuma Financial Services,22781,United States,devere-acuma.com
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,American Express (AMEX),13223,American Express (AMEX),13223,United States,www.americanexpress.com
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,American Express (AMEX),13223,American Express Bank,24487,United States,
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,American Express (AMEX),13223,American Express Centurion Bank,9007,United States,
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,American Express (AMEX),13223,American Express Credit,5692,United States,
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,American Express (AMEX),13223,American Express Financial Advisors,10571,United States,
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,American Express (AMEX),13223,American Express Travel Related Services,5800,United States,www.amexglobalbusinesstravel.com
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,American Express (AMEX),13223,International Capital Corporation (ICC),4090,United States,capgroup.com
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,American Express (AMEX),13223,Serve Virtual Enterprises,266771,United States,
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,American Express (AMEX),13223,Sometrics,266772,United States,
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,Ashland,4515,APAC-Florida,266738,United States,
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,Ashland,4515,Ashland,4515,United States,ashland.com
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,Ashland,4515,International Specialty Products,266739,United States,sigmaq.com
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,Ashland,4515,ISP Environmental Services,266740,United States,
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,Ashland,4515,ISP Investments,266741,United States,
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,Bridgestone,1141,Bridgestone,1141,United States,BRIDGESTONE.COM
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,Bridgestone,1141,Firestone Polymers,266798,United States,firesyn.com
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,Brown-Forman,17802,Brown-Forman,17802,United States,brown-forman.com
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,Burger King,23460,Burger King,23460,United States,burgerking.com
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,Capital One,25979,All Points Capital,266822,United States,
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,Capital One,25979,AMIVEST,266823,United States,
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,Capital One,25979,Beech Street Capital,266824,United States,
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,Capital One,25979,Capital One,25979,United States,www.wrstarkey.com
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,Capital One,25979,Capital One Bank,15615,United States,
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,Capital One,25979,Chevy Chase Bank,266825,United States,
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,Capital One,25979,Hibernia Capital,6452,United States,hiberniacapital.com
AMERICAS,AMERICAS DIGITAL MEDIA,NA DIG MEDIA ENTERPRISE,NA DIG MEDIA ENTERPRISE EAST,DIG MEDIA,Capital One,25979,Hibernia Insurance Agency,266826,United States,
