Sub Standardize ID,Sub Name,Sub Country,Sub State,Parent Standardized ID,Parent Name,tap_industry, 3 Year Stock Spend ,Propoensity to Buy, Estimated Avg. Stock , Est. Low Spend , Est. High Spend , Sales Estimated ASV ,Country,Named,DME Rep,NA Stock ARR,How Many Past Opps,Most Recent Opp
272274,Twenty-First Century Fox,US,NY,266115,21st Century Fox,Media & Entertainment," $698,400.00 ",*****," $251,188.41 "," $121,360.09 "," $521,070.81 ",,US,Named,Zach Fisher,$0,0,GREEN
24485,Charter Communications,US,MO,24485,Charter Communications,Telecommunications," $542,231.00 ",*****," $192,950.45 "," $82,896.04 "," $459,483.63 ",,US,Named,Zach Fisher,"$170,739",9,DR2162214
1458,Disney Worldwide Services,US,CA,21401,Disney,Media & Entertainment, $-   ,****," $198,339.06 "," $100,344.86 "," $392,850.28 ",,US,Named,Zach Fisher,$0,0,GREEN
268608,Tumblr,US,NY,13565,Verizon,Media & Entertainment, $-   ,***," $128,363.06 "," $43,480.54 "," $390,523.13 ",,US,Named,Zach Fisher,$0,0,GREEN
16008,America Online (AOL),IN,KA,13565,Verizon,Telecommunications, $-   ,*****," $168,448.19 "," $82,362.86 "," $353,543.06 ",,US,Named,Zach Fisher,$0,0,GREEN
13957,Yahoo!,US,GA,13565,Verizon,Media & Entertainment, $-   ,*****," $140,306.11 "," $66,950.63 "," $297,389.34 ",,US,Named,Zach Fisher,$0,0,GREEN
7149,Time Incorporated,US,NW,7149,Time Incorporated,Media & Entertainment, $-   ,*****," $134,056.36 "," $64,578.30 "," $284,909.47 ",,US,Named,Zach Fisher,$0,0,GREEN
2262,Fox News,AU,VIC,266115,21st Century Fox,Media & Entertainment, $-   ,***," $113,002.69 "," $48,251.16 "," $270,303.41 ",,US,Named,Zach Fisher,$0,0,GREEN
13565,Verizon,US,FL,13565,Verizon,Telecommunications, $-   ,*****," $132,574.81 "," $67,897.61 "," $264,082.88 ",,US,Named,Zach Fisher,"$50,925",6,DR2110465
23825,Verizon Sourcing,US,NJ,13565,Verizon,Telecommunications," $152,775.00 ",*****," $129,431.41 "," $67,594.45 "," $249,142.70 ",,US,Named,Zach Fisher,$0,0,GREEN
17935,Time Warner Cable (TWC),US,VA,24485,Charter Communications,Media & Entertainment, $-   ,*****," $118,290.83 "," $59,143.57 "," $242,674.09 ",,US,Named,Zach Fisher,$0,0,GREEN
8917,ESPN,US,NY,21401,Disney,Media & Entertainment, $-   ,*," $109,176.03 "," $50,773.23 "," $240,289.81 ",,US,Named,Zach Fisher,$0,0,GREEN
3182,Lands' End,GB,LEICESTERSHIRE,3182,Lands' End,Retail, $-   ,****," $108,621.20 "," $56,264.61 "," $211,594.50 ",,US,Named,Bill Partridge,$0,1,DR1992470
24978,Nexstar,US,CO,24978,Nexstar,Advertising," $215,700.00 ",*****," $105,970.86 "," $54,556.73 "," $207,216.45 ",,US,Named,Zach Fisher,"$71,900",2,DR2053182
13695,Electronic Arts (EA),US,TX,13695,Electronic Arts (EA),Media & Entertainment, $-   ,*****," $109,332.23 "," $58,730.85 "," $204,640.23 ",,US,Named,Zach Fisher,$0,1,DR2027467
21678,Blizzard Entertainment,FR,IDF,13092,Activision Blizzard,Media & Entertainment, $-   ,****," $83,499.49 "," $38,838.72 "," $182,569.20 ",,US,Named,Zach Fisher,$0,0,GREEN
21404,Cox Communications,US,GA,9135,Cox Enterprises,Media & Entertainment, $-   ,*," $72,587.09 "," $30,367.84 "," $180,256.41 ",,US,Named,Grant Hamlen,$0,0,GREEN
10594,Walgreen,US,IL,10594,Walgreen,Retail, $-   ,*****," $96,130.78 "," $52,788.94 "," $176,045.42 ",,US,Named,Bill Partridge,$0,0,GREEN
733,Hotels.com,US,TX,8797,Expedia,"Travel, Leisure & Hospitality", $-   ,*," $78,498.32 "," $36,718.74 "," $170,594.59 ",,US,Named,PH USER AMERICAS 91700521,$0,0,GREEN
21305,Macys.com,HK,Hong Kong,23124,Macy's,Retail, $-   ,*," $75,888.27 "," $36,996.04 "," $159,067.73 ",,US,Named,Bill Partridge,$0,0,GREEN
1772,Disney Connected and Advanced Technologies (DCAT),US,CA,21401,Disney,Technology Software & Services, $-   ,*," $69,096.99 "," $30,472.96 "," $158,926.61 ",,US,Named,Zach Fisher,$0,0,GREEN
16467,Insight Communications,US,OH,24485,Charter Communications,Telecommunications, $-   ,*," $59,048.56 "," $22,446.48 "," $157,708.17 ",,US,Named,Zach Fisher,$0,0,GREEN
266074,Fitbit,US,CA,266074,Fitbit,Technology Hardware, $-   ,*," $65,677.05 "," $28,168.01 "," $155,459.45 ",,US,Named,Jenny Dedo,$0,0,GREEN
4823,Cellco,US,IN,13565,Verizon,Telecommunications, $-   ,***," $82,970.33 "," $44,726.06 "," $154,829.47 ",,US,Named,Zach Fisher,$0,0,GREEN
10863,Wall Street Journal,US,NY,2740,News Corporation,Media & Entertainment, $-   ,*," $70,572.98 "," $33,248.80 "," $152,633.98 ",,US,Named,PH USER AMERICAS 91700552,$0,0,GREEN
3202,USA Today,US,VA,267189,TEGNA,Media & Entertainment, $-   ,*," $62,211.79 "," $26,624.31 "," $148,215.19 ",,US,Named,PH USER AMERICAS 91700552,$0,0,GREEN
271958,Sling Media,US,CA,1047,EchoStar,Media & Entertainment, $-   ,*," $56,891.47 "," $23,480.76 "," $140,784.33 ",,US,Named,Keith Trudeau,$0,0,GREEN
268009,Backflip Studios,US,CO,2080,Hasbro,Retail, $-   ,*," $60,628.55 "," $27,016.96 "," $137,894.75 ",,US,Named,Steven Colon,$0,0,GREEN
3767,Progressive Casualty Insurance,US,OH,9438,Progressive,Insurance, $-   ,*," $59,606.68 "," $27,401.91 "," $131,858.14 ",,US,Named,Bill Partridge,$0,0,GREEN
17230,McClatchy,US,NC,17230,McClatchy,Media & Entertainment, $-   ,*****," $65,101.45 "," $34,211.43 "," $125,648.70 ",,US,Named,Zach Fisher,$0,0,GREEN
272239,Bronto Software,US,NC,6407,Oracle,Technology Software & Services, $-   ,*," $52,340.70 "," $22,761.12 "," $121,991.89 ",,US,Named,Jenny Dedo,$0,0,GREEN
21943,Allrecipes.com,US,WA,3271,Meredith Corporation,Media & Entertainment, $-   ,*," $56,930.67 "," $27,358.06 "," $120,920.93 ",,US,Named,Keith Trudeau,$0,0,GREEN
