Account Name,Street Address,City,State,Country,Domain,Salesforce Account ID,Segment,Custom Attribute
Cg eu,,,,,0xcd.net,,,
009fea6b@10minutemail.co.uk,,,,,10minutemail.co.uk,,,
Freelance,,,,,11treetops.co.uk,,,
Tokheim,,,,,15mas.es,,,
www.1dollar1target.com,,,,,1dollar1target.com,,,
2ODEM,,,,,2odem.com,,,
III-V Lab,,,,,3-5lab.fr,,,
XYZ Espa?a,,,,,3atel.es,,,
ZiiLABS,,,,,3dlabs.com,,,
3D Plus,,,,,3d-plus.com,,,
3dprint,,,,,3dprint.fr,,,
Dassault Systèmes,,,,,3ds.com,,,
Root DSP,,,,,3rdrootdsp.com,,,
3Shape,,,,,3shape.com,,,
3T,,,,,3t.nl,,,
Tretec S.r.l.,,,,,3tec.it,,,
3trpd,,,,,3trpd.co.uk,,,
40th Parallel,,,,,40parallel.net,,,
4C Electronics ,,,,,4celectronics.co.uk,,,
4DSP,,,,,4dsp.com,,,
4D-VIRTUALIZ,,,,,4d-virtualiz.com,,,
4Links,,,,,4links.co.uk,,,
4Sight Imaging,,,,,4sightimaging.com,,,
7layers,,,,,7layers.com,,,
Seven Technologies Group,,,,,7techgroup.com,,,
A3R,,,,,a3r.it,,,
Skip,,,,,aa.be,,,
aaa,,,,,aaa.upv.es,,,
AAB Solutions Limited,,,,,aabsol.co.uk,,,
ÅAC Microtec,,,,,aacmicrotec.com,,,
Aahs,,,,,aahs.co.at,,,
Åkp,,,,,aakp.no,,,
American Axle & Manufacturing,,,,,aam.com,,,
Aastra Technologies,,,,,aastra.com,,,
aaton.com,,,,,aaton.com,,,
Aava Mobile,,,,,aavamobile.com,,,
Aaw Controls,,,,,aawcs.co.uk,,,
Abaco Systems,,,,,abaco.com,,,
b,,,,,abcdef.com,,,
Anthony Best Dynamics,,,,,abd.uk.com,,,
Anthony Best Dynamics Ltd,,,,,abdynamics.com,,,
Aberlink,,,,,aberlink.co.uk,,,
abileapty,,,,,abileapty.com,,,
ABI Research,,,,,abiresearch.com,,,
abix,,,,,a-bix.com,,,
Abundo,,,,,abundo.se,,,
RAYSAT Bulgaria,,,,,abv.bg,,,
AC,,,,,ac.com.pl,,,
ac,,,,,ac.uma.es,,,
Acal BFi,,,,,acalbfi.de,,,
ACAM,,,,,acam.de,,,
AccelaD,,,,,accelad.com,,,
Accelercomm Ltd,,,,,accelercomm.com,,,
accelize,,,,,accelize.com,,,
accemic.com,,,,,accemic.com,,,
Access IS,,,,,access-is.com,,,
ACCO Semiconductor,,,,,acco-semi.com,,,
Acd Antriebstechnik,,,,,acd-antriebstechnik.de,,,
ACD Gruppe,,,,,acd-elektronik.de,,,
ACE Associated Computer Experts,,,,,ace.nl,,,
ACEN,,,,,acen.fr,,,
Acer,,,,,acer.com.tw,,,
Analytical Control Instruments,,,,,aci-berlin.com,,,
ACM,,,,,acm.org,,,
Acme Systems,,,,,acmesystems.it,,,
Lycée Polyvalent de Taaone,,,,,ac-nantes.fr,,,
Acontrol,,,,,acontrol.pt,,,
ACORDE,,,,,acorde.com,,,
AcQ International,,,,,acq.nl,,,
Acra Control,,,,,acracontrol.com,,,
Acreo Swedish ICT,,,,,acreo.se,,,
JDS Uniphase,,,,,acterna.com,,,
ACTIA Automotive,,,,,actia.fr,,,
Actimagine,,,,,actimagine.com,,,
Active Technologies,,,,,activetechnologies.it,,,
Activ Soft,,,,,activsoft.no,,,
[not provided],,,,,acts.ing.uniroma1.it,,,
Actuator Solutions,,,,,actuatorsolutions.de,,,
Aculab,,,,,aculab.com,,,
adf,,,,,ad.com,,,
Undefined,,,,,ad3d.es,,,
adsfasdfasdf,,,,,adadsfa.df,,,
Adarate,,,,,adarate.com,,,
ADAS,,,,,adas.fr,,,
AdasWorks,,,,,adasworks.com,,,
ADB SAFEGATE,,,,,adb-air.com,,,
ADB,,,,,adbglobal.com,,,
ADDI-DATA,,,,,addi-data.com,,,
adeas,,,,,adeas.nl,,,
Adel SRL,,,,,adel2000.it,,,
ADETEL - ADENEO,,,,,adeneo.adetelgroup.com,,,
adeneo,,,,,adeneo.eu,,,
American Dehydrated Foods,,,,,adf.com,,,
feaw,,,,,adf.fr,,,
adhoc Hard- und Software,,,,,adhoc-austria.net,,,
ADICSYS,,,,,adicsys.com,,,
Adient,,,,,adient.com,,,
Self Worked,,,,,adient.com.uy,,,
Adimec,,,,,adimec.com,,,
Adimec,,,,,adimec.nl,,,
Adista,,,,,adista.fr,,,
Adiuvo Engineering,,,,,adiuvoengineering.com,,,
adixen,,,,,adixen.fr,,,
Adjucor GmbH,,,,,adjucor.com,,,
ADL Automotive,,,,,adl-automotive.com,,,
adlos AG,,,,,adlos.com,,,
Admiral Sportwetten GmbH,,,,,admiral.at,,,
Adobe,,,,,adobe.com,,,
Ralab Ag,,,,,adon.li,,,
adp.eu.com,,,,,adp.eu.com,,,
adp,,,,,adp.fr,,,
Adrok,,,,,adrokgroup.com,,,
ads-tec,,,,,ads-tec.de,,,
ADTek,,,,,adtek.fr,,,
